class	property	type	description	accepted_types
Organization	foundingDate	Date	The date that this organization was founded.	Date
Organization	founders	Person	A person who founded this organization.	Person
Organization	founder	Person	A person who founded this organization.	Person
CookAction	foodEvent	FoodEvent	A sub property of location. The specific food event where the action occurred.	FoodEvent
CookAction	foodEstablishment	Place	A sub property of location. The specific food establishment where the action occurred.	Place or FoodEstablishment
CookAction	foodEstablishment	FoodEstablishment	A sub property of location. The specific food establishment where the action occurred.	Place or FoodEstablishment
Person	follows	Person	The most generic uni-directional social relation.	Person
FollowAction	followee	Person	A sub property of object. The person or organization being followed.	Person or Organization
FollowAction	followee	Organization	A sub property of object. The person or organization being followed.	Person or Organization
Accommodation	floorSize	QuantitativeValue	"The size of the accommodation, e.g. in square meter or squarefoot.
Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard"	QuantitativeValue
Flight	flightNumber	Text	The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.	Text
Flight	flightDistance	Text	The distance of the flight.	Text or Distance
Flight	flightDistance	Distance	The distance of the flight.	Text or Distance
MusicComposition	firstPerformance	Event	The date and place the work was first performed.	Event
SoftwareApplication	fileSize	Text	Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.	Text
CreativeWork	fileFormat	URL	Media type, typically MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml)) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.	URL or Text
CreativeWork	fileFormat	Text	Media type, typically MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml)) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.	URL or Text
NutritionInformation	fiberContent	Mass	The number of grams of fiber.	Mass
FinancialService	feesAndCommissionsSpecification	URL	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.	URL or Text or URL or Text
FinancialService	feesAndCommissionsSpecification	Text	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.	URL or Text or URL or Text
FinancialProduct	feesAndCommissionsSpecification	URL	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.	URL or Text or URL or Text
FinancialProduct	feesAndCommissionsSpecification	Text	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.	URL or Text or URL or Text
SoftwareApplication	featureList	URL	Features or modules provided by this application (and possibly required by other applications).	URL or Text
SoftwareApplication	featureList	Text	Features or modules provided by this application (and possibly required by other applications).	URL or Text
Place	faxNumber	Text	The fax number.	Text or Text or Text or Text
Person	faxNumber	Text	The fax number.	Text or Text or Text or Text
Organization	faxNumber	Text	The fax number.	Text or Text or Text or Text
ContactPoint	faxNumber	Text	The fax number.	Text or Text or Text or Text
NutritionInformation	fatContent	Mass	The number of grams of fat.	Mass
Person	familyName	Text	Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.	Text
CreativeWork	expires	Date	Date the content expires and is no longer useful or available. For example a [[VideoObject]] or [[NewsArticle]] whose availability or relevance is time-limited, or a [[ClaimReview]] fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date.	Date
JobPosting	experienceRequirements	Text	Description of skills and experience needed for the position.	Text
ConsumeAction	expectsAcceptanceOf	Offer	An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.	Offer
ParcelDelivery	expectedArrivalUntil	DateTime	The latest date the package may arrive.	DateTime
ParcelDelivery	expectedArrivalFrom	DateTime	The earliest date the package may arrive.	DateTime
ImageObject	exifData	Text	exif data for this object.	Text or PropertyValue
ImageObject	exifData	PropertyValue	exif data for this object.	Text or PropertyValue
ExerciseAction	exerciseCourse	Place	A sub property of location. The course where this action was taken.	Place
APIReference	executableLibraryName	Text	Library file name e.g., mscorlib.dll, system.web.dll.	Text
CreativeWork	exampleOfWork	CreativeWork	A creative work that this work is an example/instance/realization/derivation of.	CreativeWork
Place	events	Event	Upcoming or past events associated with this place or organization.	Event or Event
Organization	events	Event	Upcoming or past events associated with this place or organization.	Event or Event
Event	eventStatus	EventStatusType	An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.	EventStatusType
PlayAction	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
Place	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
Organization	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
LeaveAction	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
JoinAction	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
InviteAction	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
InformAction	event	Event	Upcoming or past event associated with this place, organization, or action.	Event or Event or Event or Event or Event or Event or Event
Flight	estimatedFlightDuration	Text	The estimated time the flight will take.	Text or Duration
Flight	estimatedFlightDuration	Duration	The estimated time the flight will take.	Text or Duration
HowToSupply	estimatedCost	Text	The estimated cost of the supply or supplies consumed when performing instructions.	Text or MonetaryAmount or Text or MonetaryAmount
HowToSupply	estimatedCost	MonetaryAmount	The estimated cost of the supply or supplies consumed when performing instructions.	Text or MonetaryAmount or Text or MonetaryAmount
HowTo	estimatedCost	Text	The estimated cost of the supply or supplies consumed when performing instructions.	Text or MonetaryAmount or Text or MonetaryAmount
HowTo	estimatedCost	MonetaryAmount	The estimated cost of the supply or supplies consumed when performing instructions.	Text or MonetaryAmount or Text or MonetaryAmount
Action	error	Thing	For failed actions, more information on the cause of the failure.	Thing
QualitativeValue	equal	QualitativeValue	This ordering relation for qualitative values indicates that the subject is equal to the object.	QualitativeValue
VideoGameSeries	episodes	Episode	An episode of a TV/radio series or season.	Episode or Episode or Episode or Episode
TVSeries	episodes	Episode	An episode of a TV/radio series or season.	Episode or Episode or Episode or Episode
RadioSeries	episodes	Episode	An episode of a TV/radio series or season.	Episode or Episode or Episode or Episode
CreativeWorkSeason	episodes	Episode	An episode of a TV/radio series or season.	Episode or Episode or Episode or Episode
Episode	episodeNumber	Text	Position of the episode within an ordered group of episodes.	Text or Integer
Episode	episodeNumber	Integer	Position of the episode within an ordered group of episodes.	Text or Integer
VideoGameSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.	Episode or Episode or Episode or Episode
TVSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.	Episode or Episode or Episode or Episode
RadioSeries	episode	Episode	An episode of a tv, radio or game media within a series or season.	Episode or Episode or Episode or Episode
CreativeWorkSeason	episode	Episode	An episode of a tv, radio or game media within a series or season.	Episode or Episode or Episode or Episode
